Frame,Min_Temp,Max_Temp,Mean_Temp,Std_Temp,Median_Temp,Q1,Q3,IQR,Skewness,Kurtosis,High_Temp_Pixels,Porosity Label
Frame_580.csv,1069.0,1754.0,1243.272,109.17169,1193.0,1181.0,1286.0,105.0,1.8999188,3.894654,3353,0
Frame_581.csv,1084.0,1789.0,1264.209,111.181206,1224.0,1199.0,1299.0,100.0,1.9407154,4.1186466,3498,0
Frame_582.csv,1121.0,1802.0,1292.1215,106.64279,1247.0,1224.0,1327.0,103.0,1.9859184,4.3521194,3397,0
Frame_583.csv,1071.0,1788.0,1248.6857,114.87968,1208.0,1183.0,1289.0,106.0,2.0069008,4.3237305,3449,0
Frame_584.csv,1088.0,1830.0,1274.9082,118.54616,1229.0,1204.0,1320.0,116.0,1.8624551,3.7423525,3431,0
Frame_585.csv,1121.0,1808.0,1277.5763,116.53912,1224.0,1211.0,1313.0,102.0,1.9017245,3.6998541,3547,0
Frame_586.csv,1091.0,1779.0,1276.4418,117.365166,1232.0,1207.0,1316.0,109.0,1.7451901,2.8997364,3750,0
Frame_587.csv,1075.0,1813.0,1258.4597,118.50096,1213.0,1188.0,1301.0,113.0,1.9648923,4.1371937,3405,0
Frame_588.csv,1091.0,1810.0,1273.0317,115.812195,1219.0,1206.0,1315.0,109.0,1.9101307,3.9321423,3363,0
Frame_589.csv,1085.0,1756.0,1234.5789,112.32858,1182.0,1170.0,1274.0,104.0,1.8969662,3.788889,3583,0
Frame_59.csv,1137.0,1704.0,1292.8108,105.83581,1255.0,1229.0,1326.0,97.0,1.6604657,2.3175015,4008,0
Frame_590.csv,1105.0,1779.0,1255.9695,111.84551,1205.0,1192.0,1299.0,107.0,1.8861672,3.8374152,3449,0
Frame_591.csv,1071.0,1734.0,1217.0938,109.337456,1167.0,1155.0,1249.0,94.0,1.9844645,4.232493,3388,0
Frame_592.csv,1085.0,1813.0,1266.232,117.40188,1212.0,1199.0,1300.0,101.0,1.955549,4.0716877,3455,0
Frame_593.csv,1062.0,1760.0,1234.2649,109.24811,1185.0,1173.0,1270.0,97.0,2.010571,4.4931827,3312,0
Frame_594.csv,1130.0,1786.0,1305.116,111.064415,1258.0,1234.0,1339.0,105.0,1.8045415,3.1875575,3691,0
Frame_595.csv,1085.0,1758.0,1267.0288,113.08953,1225.0,1200.0,1308.0,108.0,1.8551985,3.5160801,3466,0
